,age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
0,58,management,married,tertiary,unknown,5,may,261,1,unknown,no
1,44,technician,single,secondary,unknown,5,may,151,1,unknown,no
2,33,entrepreneur,married,secondary,unknown,5,may,76,1,unknown,no
3,47,blue-collar,married,secondary,unknown,5,may,92,1,unknown,no
4,33,blue-collar,single,secondary,unknown,5,may,198,1,unknown,no
5,35,management,married,tertiary,unknown,5,may,139,1,unknown,no
6,28,management,single,tertiary,unknown,5,may,217,1,unknown,no
7,42,entrepreneur,divorced,tertiary,unknown,5,may,380,1,unknown,no
8,58,retired,married,primary,unknown,5,may,50,1,unknown,no
9,43,technician,single,secondary,unknown,5,may,55,1,unknown,no
10,41,admin.,divorced,secondary,unknown,5,may,222,1,unknown,no
11,29,admin.,single,secondary,unknown,5,may,137,1,unknown,no
12,53,technician,married,secondary,unknown,5,may,517,1,unknown,no
13,58,technician,married,secondary,unknown,5,may,71,1,unknown,no
14,57,services,married,secondary,unknown,5,may,174,1,unknown,no
15,51,retired,married,primary,unknown,5,may,353,1,unknown,no
16,45,admin.,single,secondary,unknown,5,may,98,1,unknown,no
17,57,blue-collar,married,primary,unknown,5,may,38,1,unknown,no
18,60,retired,married,primary,unknown,5,may,219,1,unknown,no
19,33,services,married,secondary,unknown,5,may,54,1,unknown,no
20,28,blue-collar,married,secondary,unknown,5,may,262,1,unknown,no
21,56,management,married,tertiary,unknown,5,may,164,1,unknown,no
22,32,blue-collar,single,primary,unknown,5,may,160,1,unknown,no
23,25,services,married,secondary,unknown,5,may,342,1,unknown,no
24,40,retired,married,primary,unknown,5,may,181,1,unknown,no
25,44,admin.,married,secondary,unknown,5,may,172,1,unknown,no
26,39,management,single,tertiary,unknown,5,may,296,1,unknown,no
27,52,entrepreneur,married,secondary,unknown,5,may,127,1,unknown,no
28,46,management,single,secondary,unknown,5,may,255,2,unknown,no
29,36,technician,single,secondary,unknown,5,may,348,1,unknown,no
30,57,technician,married,secondary,unknown,5,may,225,1,unknown,no
31,49,management,married,tertiary,unknown,5,may,230,1,unknown,no
32,60,admin.,married,secondary,unknown,5,may,208,1,unknown,no
33,59,blue-collar,married,secondary,unknown,5,may,226,1,unknown,no
34,51,management,married,tertiary,unknown,5,may,336,1,unknown,no
35,57,technician,divorced,secondary,unknown,5,may,242,1,unknown,no
36,25,blue-collar,married,secondary,unknown,5,may,365,1,unknown,no
37,53,technician,married,secondary,unknown,5,may,643,1,unknown,no
38,36,admin.,divorced,secondary,unknown,5,may,577,1,unknown,no
39,37,admin.,single,secondary,unknown,5,may,137,1,unknown,no
40,44,services,divorced,secondary,unknown,5,may,160,1,unknown,no
41,50,management,married,secondary,unknown,5,may,180,2,unknown,no
